"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2015","3405",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2016","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2017","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2018","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2019","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2020","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2021","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2005","14371",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2006","13764",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2007","14624",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2008","15321",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2009","17742",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2010","19454",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2011","21212",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2012","24387",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2013","27237",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2014","27922",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2015","32350",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2016","35402",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2017","35185",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2018","27002",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2019","20614",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2020","32566",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","100","BGR","Bulgaria","2021","35161",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2005","233583",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2006","225105",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2007","224839",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2008","223802",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2009","208531",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2010","221766",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2011","224325",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2012","241495",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2013","251387",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2014","268568",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2015","277396",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2016","294716",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2017","299858",
